city_name,latitude,longitude,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,timestamp
Paris,48.8534951,2.3483915,18.3999996185303,73.0,17.6942195892334,1,0.0,0.0,0.0,0.0,2,86.0,1021.79998779297,1016.66711425781,12.4759607315063,316.169036865234,26.6399993896484,2025-08-05 07:00:22
Lyon,45.7578137,4.8320114,20.6499996185303,63.0,21.505895614624,1,0.0,0.0,0.0,0.0,1,11.0,1020.59997558594,1000.89245605469,1.48431801795959,165.963729858398,5.75999975204468,2025-08-05 07:00:26
Marseille,43.2961743,5.3699525,25.117000579834,35.0,24.010591506958,1,0.0,0.0,0.0,0.0,0,0.0,1019.0,1018.30041503906,1.08000004291534,270.0,6.47999954223633,2025-08-05 07:00:29
Lille,50.6365654,3.0635282,17.4500007629395,78.0,16.4989757537842,1,0.0,0.0,0.0,0.0,3,98.0,1019.20001220703,1015.61315917969,14.3999996185303,288.0,36.7199974060059,2025-08-05 07:00:32
Bordeaux,44.841225,-0.5800364,19.2000007629395,86.0,19.7788715362549,1,0.0,0.0,0.0,0.0,2,73.0,1024.0,1021.49078369141,12.4343395233154,337.890502929688,24.4799995422363,2025-08-05 07:00:34
Toulouse,43.6044622,1.4442469,19.5499992370605,64.0,19.0224876403809,1,0.0,0.0,0.0,0.0,0,0.0,1023.09997558594,1005.02252197266,9.11447143554688,279.090179443359,19.4400005340576,2025-08-05 07:00:37
Nice,43.7009358,7.2683912,24.2999992370605,56.0,25.7871894836426,1,0.0,0.0,0.0,0.0,0,0.0,1019.09997558594,1017.22924804688,1.13841986656189,108.435043334961,5.03999996185303,2025-08-05 07:00:39
Nantes,47.2186371,-1.5541362,17.5369987487793,75.0,16.6046371459961,1,0.0,0.0,0.0,0.0,0,0.0,1024.69995117188,1022.41552734375,11.5424776077271,356.423736572266,23.0399990081787,2025-08-05 07:00:42
Strasbourg,48.584614,7.7507127,20.6499996185303,76.0,21.504976272583,1,0.0,0.0,0.0,0.0,3,100.0,1018.5,1001.49853515625,9.02157402038574,208.610366821289,23.3999996185303,2025-08-05 07:00:44
Rennes,48.1113387,-1.6800198,17.2609996795654,70.0,15.8470096588135,1,0.0,0.0,0.0,0.0,0,0.0,1024.59997558594,1019.44409179688,14.0076551437378,334.093536376953,28.0799999237061,2025-08-05 07:00:47
Biarritz,43.4711437,-1.5527266,20.9479999542236,85.0,22.9479866027832,1,0.0,0.0,0.0,0.0,3,99.0,1024.5,1016.47119140625,8.42738342285156,289.983184814453,16.9199981689453,2025-08-05 07:00:50
